_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
104.717591329,407,0.0191742573446,-0.810815608322,1.15,0.0178684196902,-0.244091710244,-1.9938634634,1.42294609547,0.417469930075,1.04748314854e-16,-1.93199727996,2.80556906831,0.999986058713,0.263358290312,0.00635559530945,0.58432397504,0.022634210187,20,-0.00742921,0.919175,0.00352181,1.0,1.0,0.0304771902322,-0.231756081404,-0.22073008705
106.961901227,417,0.0148863944058,-0.852645681196,1.4,0.0173282861451,-0.27892178214,-1.63430094719,1.46912252903,0.357580673643,2.98189397501e-17,-2.27841599349,3.47283583991,0.999988717289,0.273513880089,0.00700531127881,0.697981310252,0.0252226825762,40,-0.0058512,0.916088,0.0077122,1.5,1.0,0.0166467289662,0.342408351657,-0.391773936593
110.097288723,428,0.0291291850504,-0.641326228678,1.3,0.0159808953502,-0.253969875214,-2.2063395977,2.0578546524,0.379270513015,2.49021986832e-17,-3.22730485201,2.95553007271,0.999981713197,0.278992945335,0.00555696885568,0.651138288646,0.0254364244503,60,-0.00323981,0.916575,0.00148812,1.0,1.0,0.00696032206047,0.729708163685,0.457422733742
109.497501398,425,0.0361758640479,-0.50616957302,1.2,0.015568415688,-0.237548069971,-2.29979157448,1.68950164318,0.430940043191,0.0,-3.51139070752,2.60244546605,0.99996530057,0.273299721068,0.00772335178936,0.606484329085,0.0242209295765,80,-0.0109615,0.91685,0.00609249,1.5,1.0,0.00300867358089,0.889514330509,0.841507572643
114.076548473,443,0.0370551365508,-0.513019973178,1.3,0.016562342024,-0.199456741079,-2.27090787888,1.6870046854,0.394133637439,0.0,-3.42731660441,5.60749376251,0.999960079131,0.28504941963,0.00676778729863,0.659459370196,0.0267162518812,100,-0.00543156,0.920125,0.00326177,1.5,1.0,0.00268348072041,0.905715001735,0.884526258933
115.5216289,449,0.0327594863622,-0.515877941135,1.25,0.0167893626678,-0.152536878062,-2.16441559792,1.86090707779,0.440069733313,0.0,-2.434941101,6.9424121243,0.999960305672,0.287301828827,0.00499140026493,0.631002571339,0.0262699896588,120,-0.00596858,0.917266,0.0025649,1.5,1.0,0.00182260737905,0.93299653253,0.893795093727
119.105444988,463,0.0360990505044,-0.570213275899,1.25,0.0174173594854,-0.0974936482877,-1.8829407692,1.93682575226,0.40056018737,-1.53464953728e-17,-3.21560508735,9.44230542328,0.999939728403,0.293938263217,0.00519597116265,0.62821042329,0.0274055647852,140,-0.00863789,0.915601,0.00412485,1.5,1.0,0.00110653062053,0.960379792595,0.954062187213
123.904448971,481,0.0398006449531,-0.512075407201,1.3,0.0161370511356,-0.119522062326,-2.54037427902,1.91134262085,0.486676566483,1.84652478108e-18,-2.86201147257,2.34848751738,0.999949192827,0.30705499287,0.00636332344266,0.65388070624,0.0293224550052,160,-0.00256481,0.912353,0.00106913,1.0,1.0,0.00177296014675,0.942392698784,0.928606979591
124.756710726,484,0.0378385637655,-0.490418227042,1.4,0.0165770625769,-0.0731893999768,-1.96303677559,1.83973801136,0.449431095699,5.87225401455e-17,-2.65709056838,3.23699239374,0.999950818883,0.311240410753,0.00594667952237,0.699031766417,0.0301974295019,180,-0.0065069,0.907271,0.00439051,1.0,1.0,0.00206052981675,0.933042778888,0.924087252131
120.588240945,469,0.031542207235,-0.547584738608,1.4,0.0170215041174,-0.0795085443569,-1.82045865059,2.15630125999,0.473502515694,1.51501649416e-17,-3.20351273073,4.24339627961,0.9999614765,0.301395637025,0.00530291305005,0.694480597661,0.0288202412885,200,-0.0164049,0.906103,0.0121864,1.5,1.0,0.00331813628161,0.888257871054,0.872925748848
