_MeanReward,Steps,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode
0.749677686071,1786,0.00193985,74.328,0.0210196,2.25,1.0,4.42457317331e-05,-5.63135328267,-508.176924929,0.110559345569,-1.24759687205,16.5,0.607535076226,-0.0640856685691,-3.09485411644,3.13759183884,0.392363406278,-1.27308888826e-16,-3.80719405017,3.6430184383,0.999962384366,0.00245794603002,-0.00972921757404,0.0107232435633,5.19612095297e-06,20
0.618170157309,1604,-0.0194854,74.2767,0.0149077,3.375,1.0,1.7064962136e-05,-2.42081043382,-12.6689757723,0.126479104579,-0.807040834419,10.55,0.24544316505,-0.0530469726557,-3.10276412964,2.8122651577,0.387085299515,0.0,-4.16181453911,10.917193939,0.99971589179,0.00245818089139,-0.0108489712802,0.00886314901513,4.4222568308e-06,40
0.517100716728,1970,-0.0587374,74.1402,0.0121082,5.0625,1.0,1.17001029163e-05,-2.0792508012,-4.01861074001,0.13497651295,-0.73885598941,9.85,0.238307124128,-0.0568991439371,-3.1962184906,2.89589142799,0.384093092491,-1.44272636703e-17,-8.86901852493,10.8959843072,0.99944337219,0.0024076134151,-0.0142568434839,0.009554081813,3.75506555582e-06,60
0.30196906111,1702,-3.77927,73.9595,0.0152883,7.59375,1.0,1.02571612008e-05,-1.09679722108,-1.77682341712,0.148630154154,-0.817623171271,11.95,0.292920426517,-0.050665623382,-3.53828573227,2.8586063385,0.387026585232,-8.34950335793e-18,-3.76540346025,13.8770152634,0.999289219272,0.00281729754842,-0.0129427058546,0.00981152520926,4.88431299036e-06,80
0.702078393489,1974,0.0710866,73.8479,0.0120027,11.390625,1.0,6.3850047552e-06,-0.765289396546,-2.11633648347,0.148155573021,-0.698362476073,9.4,0.221515842762,-0.054678034237,-3.13067817688,3.14531207085,0.37993311757,-2.87960581868e-17,-18.5380452264,4.31242976657,0.999300129526,0.00271996568352,-0.00897599143207,0.00909642626387,3.61621161066e-06,100
0.834511849829,1796,-0.500544,73.8151,0.00858419,17.0859375,1.0,5.7259083094e-06,-0.71463509403,-1.08137172394,0.113306082007,-0.859200736572,8.95,0.18203076081,-0.0560496705937,-3.42230558395,2.94836854935,0.381727649083,3.16500105016e-17,-9.94501133118,8.86001786039,0.998960822959,0.00195984874972,-0.0128042054041,0.00989730842799,3.31636553213e-06,120
0.515547668729,1500,-12.2889,73.6699,0.0137677,25.62890625,1.0,4.26077782086e-06,-0.322505957791,-0.76372308158,0.106731119041,-0.750622771967,7.55,0.136496347177,-0.0519395157444,-3.19063138962,2.8632414341,0.381029252201,3.78956125739e-17,-6.81494322479,9.19257024633,0.998923892379,0.00227416200445,-0.00913774253989,0.00915955372365,3.17813525925e-06,140
0.286764827245,1635,0.067011,73.6954,0.00800895,35.0,0.6666666666666666,4.33527735497e-06,-0.290653453379,-0.894105973697,0.132546444427,-0.687603745763,10.15,0.204556329748,-0.0524571828237,-3.1046833992,2.86455082893,0.380235110171,5.21499255604e-17,-3.29271449492,10.4795337108,0.998923948395,0.00267588713577,-0.0061627420196,0.0093148315492,3.33009354465e-06,160
0.535239885822,1457,-0.0390347,73.7017,0.00090367,23.3333333333,0.6666666666666666,5.16859026625e-06,-0.141670054022,-0.324359418151,0.104950467538,-0.732665129284,8.45,0.163789423498,-0.0504693916687,-3.47280263901,2.88355255127,0.379277785375,-1.46302553691e-17,-8.12583458292,6.88480081108,0.998891682803,0.00216594404862,-0.0156341653428,0.00977389484983,4.44132311187e-06,180
0.742188047121,1827,-0.0530483,73.7121,0.000981732,15.5555555556,0.6666666666666666,3.65674927998e-06,-0.0744065326074,-0.713999140411,0.126237200306,-1.44208944308,13.7,0.368682597186,-0.0559657499048,-3.08503770828,3.03670811653,0.381685925725,6.22259648175e-17,-3.22039375453,12.9370025045,0.998631727134,0.00217949010404,-0.00426686983927,0.00947552118484,3.40231545759e-06,200
