_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
198.322422017,794,0.0881615579859,-0.734008239148,4.55,0.0445796481866,-0.00678411793736,-2.90790891647,2.65979027748,0.378917550699,-7.15912076333e-17,-2.3281290267,4.32825369894,0.999992374868,0.523023139788,0.0245971130426,1.84268103092,0.124061198928,20,2.89116e+06,72.5489,240.461,1.5,1.0,0.0851394716098,0.316151300551,-0.130128150061
207.094053892,829,0.0444108987353,-0.946944765049,3.6,0.039099416047,-0.0810355164003,-5.70936107635,4.92420005798,0.769651893527,0.0,-2.40808197764,3.80869670771,0.99999116815,0.529405328696,0.0247333320578,1.53424175118,0.105100625711,40,8.47774e+06,69.7033,411.761,2.25,1.0,0.0446986808861,0.574977847116,0.334368735198
252.681398729,1011,0.0624294628397,-0.92371106961,3.95,0.0464383481669,-0.0567343751193,-7.17094516754,7.41388082504,1.24449372507,2.81124722358e-17,-2.36322866974,4.60273319038,0.999990250206,0.613088367241,0.0243580293911,1.65180343895,0.125135622899,60,1.65706e+07,68.8147,575.667,3.375,1.0,0.0373719906964,0.705322303846,0.464623104621
276.172661234,1105,0.0659708311893,-0.996893088017,5.35,0.0822980291701,-0.0297656529047,-10.4576854706,10.3176021576,1.87853229527,0.0,-2.14654814668,2.98775248349,0.999992609934,0.72789206239,0.0247620842532,2.09096780858,0.233589888008,80,6.40051e+07,67.153,1131.39,5.0625,1.0,0.12139100959,0.485601490766,0.253806931082
309.292404787,1237,0.0966757621149,-0.890624670257,5.4,0.0874665979575,0.0441412572201,-13.5686664581,13.1252269745,2.27173495682,-8.61612048214e-17,-2.47917089662,2.67777648153,0.999992072028,0.77318032749,0.0244048130516,2.10298331294,0.234174498117,100,8.91738e+07,66.4049,1335.42,7.59375,1.0,0.128400262982,0.467630156437,0.32252464747
290.939187794,1164,0.103555285601,-0.789974126445,5.05,0.0870096211166,-0.00251494749368,-15.9072809219,18.7789802551,2.87433594678,-2.4417276143e-17,-2.31962365156,2.47768545551,0.99999432678,0.765574476948,0.0246912010964,2.00615370083,0.246746210419,120,2.54129e+08,65.0987,2254.39,11.390625,1.0,0.128617271837,0.479012942992,0.163732248173
337.391312592,1349,0.0926099873501,-0.805717236795,7.2,0.125177337583,0.0879182506485,-16.6717700958,24.5115299225,3.46678528736,-2.10687245592e-17,-2.34175346688,3.18338559503,0.999993297638,0.878263484977,0.0247209442679,2.58543641978,0.342594907047,140,4.35654e+08,63.9327,2951.69,17.0859375,1.0,0.181424255625,0.579905139355,0.274241869898
338.22409534,1353,0.130490759551,-0.875955727206,5.9,0.0870826661571,0.272507878201,-19.0074119568,33.6396980286,4.08517789932,-2.10064371252e-17,-3.53707533223,2.7078149374,0.999991561761,0.823463254259,0.0247214621426,2.24341526148,0.242948480441,160,5.97395e+08,63.4296,3456.41,25.62890625,1.0,0.061659604653,0.749272975516,0.588446393967
231.034516106,924,0.0493392878295,-0.824787444977,4.0,0.044712023832,0.382838363618,-24.2855949402,28.3440856934,6.10647168972,1.53797128952e-17,-2.58873137797,3.66816263149,0.999993575566,0.577317858558,0.0244232106848,1.66930683163,0.121140409297,180,6.78241e+08,63.6128,3682.8,35.0,0.6666666666666666,0.0555061324453,0.634062695212,0.143845988659
182.039964083,728,0.0255732477455,-0.936054800748,2.7,0.0321079229017,0.556529770784,-22.8028488159,31.6140232086,8.73836680924,0.0,-3.02097700992,2.7709449101,0.999989619513,0.453114597082,0.0242368280445,1.2048210334,0.0684469836923,200,9.5924e+07,63.4194,1384.75,35.0,0.4444444444444444,0.0272215628761,0.679945606955,0.228488912095
164.026002102,656,0.0474838452188,-0.866783396341,3.3,0.031827618564,0.565460912862,-27.8509674072,33.1853599548,10.4197633885,-1.35393051784e-17,-2.30604788723,4.10833412183,0.99998640363,0.425184389925,0.0243213716967,1.42618135123,0.0727358678897,220,1.16906e+07,63.1962,483.196,35.0,0.2962962962962963,0.0249552012388,0.65694751252,0.634631692981
145.48285929,582,0.0367475529131,-0.823525065567,1.8,0.0227924831756,0.541637961309,-31.1948566437,44.4921531677,11.650957392,-7.32518284289e-17,-2.53992287124,2.30488321235,0.999980958417,0.366169933441,0.0244575165824,0.850731943468,0.0427494584849,240,1.04634e+07,63.2566,457.114,35.0,0.19753086419753085,0.0108787705993,0.781640028779,0.683383498195
149.027890606,596,0.032651527055,-0.838801373269,2.0,0.0228011149786,0.576980951214,-27.7424964905,37.2277297974,11.7880972459,-1.19218579826e-17,-2.66951981791,3.39317792461,0.99997643602,0.375033459135,0.0246457991813,0.932212418504,0.0451390559588,260,4.00665e+06,63.5267,282.734,35.0,0.1316872427983539,0.00807037824834,0.827428252811,0.801202379072
155.476858522,622,0.0385789046522,-0.640702218358,2.05,0.0240153343481,0.600398995361,-30.2334442139,37.4777565002,11.4497964764,-2.28470333042e-17,-3.10110026199,2.71479806504,0.999976883215,0.388571309978,0.0244517447021,0.948563962335,0.0481387892578,280,331928.0,63.7297,81.134,35.0,0.0877914951989026,0.00959121063367,0.801082711093,0.777755423736
169.071684353,676,0.0372372111955,-0.803420448148,2.25,0.0243042117951,0.615771138729,-36.5723457336,43.1708564758,12.0147096252,0.0,-3.00093060018,3.17045293619,0.999978129516,0.422307042595,0.0246618105533,1.02390798177,0.057723062941,300,188810.0,63.7976,61.1077,35.0,0.0877914951989026,0.00873968247883,0.84879488418,0.819291857179
158.976099262,636,0.0364131564105,-0.718019654471,1.9,0.0257309592744,0.598470403783,-30.0747737885,43.9404182434,11.8682492544,2.79301389843e-17,-2.25794375239,2.91379223123,0.999970155772,0.394802004749,0.0247244493548,0.88237480944,0.0485618329966,320,141504.0,63.8638,52.8556,35.0,0.0877914951989026,0.00573582780679,0.881888460743,0.875434656146
180.558488636,722,0.0389224637418,-0.687423900442,2.15,0.0248076754119,0.639359410609,-28.4485225677,51.5776443481,11.7652243414,1.96826242593e-17,-2.71448911404,3.35008778621,0.999973291266,0.442688785125,0.0247684008256,0.989245485668,0.0608743763462,340,101256.0,63.8843,44.6587,35.0,0.0877914951989026,0.00763418901953,0.885309462947,0.871175527709
169.742541326,679,0.0422744324108,-0.59415376826,2.2,0.0233600820791,0.631705384226,-32.7518844604,39.0158004761,11.6109361978,0.0,-2.48950813068,3.2529320849,0.999974937279,0.420238877209,0.0247719059755,1.01047774365,0.056078277105,360,73347.5,63.9129,37.9583,35.0,0.0877914951989026,0.00739402486124,0.87111383448,0.849443002304
181.782693552,727,0.0396793626666,-0.75815230186,2.3,0.0254979655257,0.650855325058,-48.4553375244,47.9242248535,12.2590818292,1.95472554542e-17,-2.56656944759,2.6938246757,0.999974648879,0.448470401515,0.0246812447228,1.04974567812,0.0639044417043,380,55587.9,63.9138,33.0008,35.0,0.0877914951989026,0.00815594616651,0.872495960217,0.860664827969
176.985743129,708,0.0428109775189,-0.647634948654,3.8,0.036654847352,0.625733871843,-35.1005020142,44.6165924072,12.1696065152,-6.02154860814e-17,-2.12935991363,3.17165163536,0.999986429503,0.465767213388,0.0247041006803,1.60176252414,0.0932815401117,400,63204.8,63.9522,35.2118,35.0,0.0877914951989026,0.0330803756677,0.645492608144,0.531402500368
